layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
blocks.1,47,0.0,1.0,0.16888587176799774,0.3896286239226659
embed,47,0.0,1.0,0.16888587176799774,0.3896286239226659
head,21,0.0,1.0,0.16877111792564392,0.3895903726418813
blocks.0,42,0.0,1.0,0.16413338482379913,0.38804446160793304
blocks.1,42,0.0,1.0,0.16413338482379913,0.38804446160793304
embed,42,0.0,1.0,0.16413338482379913,0.38804446160793304
head,20,0.0,1.0,0.16312836110591888,0.38770945370197296
blocks.0,62,0.0,1.0,0.15275751054286957,0.38425250351428986
blocks.1,62,0.0,1.0,0.15275751054286957,0.38425250351428986
embed,62,0.0,1.0,0.15275751054286957,0.38425250351428986
blocks.0,59,0.0,1.0,0.15261457860469818,0.3842048595348994
blocks.1,59,0.0,1.0,0.15261457860469818,0.3842048595348994
embed,59,0.0,1.0,0.15261457860469818,0.3842048595348994
blocks.0,50,0.0,1.0,0.15238815546035767,0.3841293851534526
blocks.1,50,0.0,1.0,0.15238815546035767,0.3841293851534526
embed,50,0.0,1.0,0.15238815546035767,0.3841293851534526
ln_out,36,0.0,1.0,0.15092435479164124,0.38364145159721375
ln_out,52,0.0,1.0,0.1494612693786621,0.383153756459554
ln_out,50,0.0,1.0,0.1460856795310974,0.38202855984369916
ln_out,21,0.03111979179084301,1.0,0.1136779636144638,0.38159925180176896
ln_out,43,0.04140625149011612,1.0,0.09762445837259293,0.3796769032875697
ln_out,59,0.0,1.0,0.13734951615333557,0.3791165053844452
ln_out,17,0.09641926735639572,1.0,0.03432357683777809,0.37691428139805794
blocks.0,31,0.0,1.0,0.1214810386300087,0.3738270128766696
blocks.1,31,0.0,1.0,0.1214810386300087,0.3738270128766696
embed,31,0.0,1.0,0.1214810386300087,0.3738270128766696
ln_out,60,0.04472656175494194,1.0,0.07617884874343872,0.37363513683279354
blocks.0,36,0.0,1.0,0.1185823306441307,0.3728607768813769
blocks.1,36,0.0,1.0,0.1185823306441307,0.3728607768813769
embed,36,0.0,1.0,0.1185823306441307,0.3728607768813769
ln_out,34,0.0033203125931322575,1.0,0.10944955796003342,0.3709232901843886
blocks.0,61,0.0,1.0,0.11275478452444077,0.37091826150814694
blocks.1,61,0.0,1.0,0.11275478452444077,0.37091826150814694
embed,61,0.0,1.0,0.11275478452444077,0.37091826150814694
ln_out,47,0.0,1.0,0.1119372546672821,0.3706457515557607
blocks.0,38,0.0,1.0,0.11077053099870682,0.3702568436662356
blocks.1,38,0.0,1.0,0.11077053099870682,0.3702568436662356
embed,38,0.0,1.0,0.11077053099870682,0.3702568436662356
head,18,0.0,1.0,0.10934115201234818,0.36978038400411606
blocks.0,7,0.0,1.0,0.10844016820192337,0.36948005606730777
blocks.1,7,0.0,1.0,0.10844016820192337,0.36948005606730777
embed,7,0.0,1.0,0.10844016820192337,0.36948005606730777
blocks.0,35,0.0,1.0,0.10801805555820465,0.36933935185273487
blocks.1,35,0.0,1.0,0.10801805555820465,0.36933935185273487
embed,35,0.0,1.0,0.10801805555820465,0.36933935185273487
head,19,0.0,1.0,0.10777615755796432,0.3692587191859881
blocks.0,6,0.0,1.0,0.10681238770484924,0.3689374625682831
blocks.1,6,0.0,1.0,0.10681238770484924,0.3689374625682831
embed,6,0.0,1.0,0.10681238770484924,0.3689374625682831
ln_out,26,0.0,1.0,0.10551872849464417,0.36850624283154804
blocks.0,52,0.0,1.0,0.10539250820875168,0.3684641694029172
blocks.1,52,0.0,1.0,0.10539250820875168,0.3684641694029172
embed,52,0.0,1.0,0.10539250820875168,0.3684641694029172
ln_out,49,0.04511718824505806,1.0,0.05858415737748146,0.3679004485408465
ln_out,56,0.08736979216337204,1.0,0.01538710854947567,0.36758563357094926
