layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
blocks.1,7,0.0,1.0,0.09368860721588135,0.36456286907196045
embed,7,0.0,1.0,0.09368860721588135,0.36456286907196045
blocks.0,63,0.0,1.0,0.0916910171508789,0.36389700571695965
blocks.1,63,0.0,1.0,0.0916910171508789,0.36389700571695965
embed,63,0.0,1.0,0.0916910171508789,0.36389700571695965
ln_out,63,0.0,1.0,0.09153188765048981,0.36384396255016327
blocks.0,34,0.0,1.0,0.09147666394710541,0.36382555464903515
blocks.1,34,0.0,1.0,0.09147666394710541,0.36382555464903515
embed,34,0.0,1.0,0.09147666394710541,0.36382555464903515
ln_out,33,0.008281249552965164,1.0,0.0822090357542038,0.3634967617690563
blocks.0,8,0.0,1.0,0.08740977942943573,0.3624699264764786
blocks.1,8,0.0,1.0,0.08740977942943573,0.3624699264764786
embed,8,0.0,1.0,0.08740977942943573,0.3624699264764786
blocks.0,53,0.0,1.0,0.08611242473125458,0.3620374749104182
blocks.1,53,0.0,1.0,0.08611242473125458,0.3620374749104182
embed,53,0.0,1.0,0.08611242473125458,0.3620374749104182
blocks.0,18,0.0,0.9218876957893372,0.1641610860824585,0.3620162606239319
blocks.1,18,0.0,0.9218876957893372,0.1641610860824585,0.3620162606239319
embed,18,0.0,0.9218876957893372,0.1641610860824585,0.3620162606239319
blocks.0,58,0.0009374999790452421,1.0,0.0835532695055008,0.3614969231615153
blocks.1,58,0.0009374999790452421,1.0,0.0835532695055008,0.3614969231615153
embed,58,0.0009374999790452421,1.0,0.0835532695055008,0.3614969231615153
blocks.0,17,0.0,1.0,0.0830976590514183,0.36103255301713943
blocks.1,17,0.0,1.0,0.0830976590514183,0.36103255301713943
embed,17,0.0,1.0,0.0830976590514183,0.36103255301713943
head,13,0.0,1.0,0.07965890318155289,0.3598863010605176
blocks.0,23,0.0,1.0,0.07870130240917206,0.35956710080305737
blocks.1,23,0.0,1.0,0.07870130240917206,0.35956710080305737
