layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
blocks.1,7,0.0,1.0,0.1091560497879982,0.36971868326266605
embed,7,0.0,1.0,0.1091560497879982,0.36971868326266605
blocks.0,52,0.0,1.0,0.10682886093854904,0.368942953646183
blocks.1,52,0.0,1.0,0.10682886093854904,0.368942953646183
embed,52,0.0,1.0,0.10682886093854904,0.368942953646183
ln_out,49,0.04518229141831398,1.0,0.06134859099984169,0.36884362747271854
ln_out,26,0.0,1.0,0.10634574294090271,0.3687819143136342
head,18,0.0,1.0,0.10572469979524612,0.3685748999317487
head,19,0.0,1.0,0.1055084690451622,0.36850282301505405
blocks.0,6,0.0,1.0,0.1052670031785965,0.3684223343928655
blocks.1,6,0.0,1.0,0.1052670031785965,0.3684223343928655
embed,6,0.0,1.0,0.1052670031785965,0.3684223343928655
ln_out,56,0.08730468899011612,1.0,0.016717590391635895,0.368007426460584
ln_out,13,0.0,1.0,0.09942950308322906,0.36647650102774304
ln_out,0,0.0042968750931322575,1.0,0.09114590287208557,0.36514759265507263
ln_out,33,0.008268228732049465,1.0,0.0863468199968338,0.36487168290962774
ln_out,42,0.0,1.0,0.09282008558511734,0.3642733618617058
ln_out,16,0.0,1.0,0.09231292456388474,0.3641043081879616
blocks.0,29,0.0,1.0,0.0922413021326065,0.36408043404420215
blocks.1,29,0.0,1.0,0.0922413021326065,0.36408043404420215
embed,29,0.0,1.0,0.0922413021326065,0.36408043404420215
blocks.0,23,0.0,1.0,0.09116952121257782,0.36372317373752594
blocks.1,23,0.0,1.0,0.09116952121257782,0.36372317373752594
embed,23,0.0,1.0,0.09116952121257782,0.36372317373752594
blocks.0,17,0.0,1.0,0.08889488875865936,0.3629649629195531
blocks.1,17,0.0,1.0,0.08889488875865936,0.3629649629195531
embed,17,0.0,1.0,0.08889488875865936,0.3629649629195531
blocks.0,63,0.0,1.0,0.08786273002624512,0.36262091000874835
blocks.1,63,0.0,1.0,0.08786273002624512,0.36262091000874835
embed,63,0.0,1.0,0.08786273002624512,0.36262091000874835
blocks.0,58,0.0009765625,1.0,0.08591838926076889,0.36229831725358963
blocks.1,58,0.0009765625,1.0,0.08591838926076889,0.36229831725358963
embed,58,0.0009765625,1.0,0.08591838926076889,0.36229831725358963
ln_out,63,0.0,1.0,0.08638410270214081,0.36212803423404694
head,13,0.0,1.0,0.08306901901960373,0.3610230063398679
blocks.0,46,0.0,1.0,0.08240713179111481,0.36080237726370495
blocks.1,46,0.0,1.0,0.08240713179111481,0.36080237726370495
embed,46,0.0,1.0,0.08240713179111481,0.36080237726370495
blocks.0,18,0.0,0.9218876957893372,0.15970657765865326,0.36053142448266345
blocks.1,18,0.0,0.9218876957893372,0.15970657765865326,0.36053142448266345
embed,18,0.0,0.9218876957893372,0.15970657765865326,0.36053142448266345
blocks.0,3,0.0,1.0,0.07949010282754898,0.35983003427584964
